Samples	Tetracosactide-w00-T1	Tetracosactide-w25-T1	Tetracosactide-w00-T2	Tetracosactide-w25-T2	Tetracosactide-w00-T3	Tetracosactide-w25-T3	Tetracosactide-w00-T4	Tetracosactide-w25-T4	Tetracosactide-w00-T5	Tetracosactide-w25-T5	Tetracosactide-w00-T6	Tetracosactide-w25-T6	Prednisolone-d0-P1	Prednisolone-d4-P1	Prednisolone-d0-P2	Prednisolone-d4-P2	Prednisolone-d0-P3	Prednisolone-d4-P3	Prednisolone-d0-P4	Prednisolone-d4-P4	Prednisolone-d0-P5	Prednisolone-d4-P5	Prednisolone-d0-P6	Prednisolone-d4-P6	Prednisolone-d0-P7	Prednisolone-d4-P7	Prednisolone-d0-P8	Prednisolone-d4-P8
Factors	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Tetracosactide | TreatmentDuration:00w | SamplingTimePoint:before	TreatmentGroup:Tetracosactide | TreatmentDuration:25w | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after	TreatmentGroup:Prednisolone | TreatmentDuration:0d | SamplingTimePoint:before	TreatmentGroup:Prednisolone | TreatmentDuration:4d | SamplingTimePoint:after
PC(36:1)	62.02585588	70.04234846	66.53165087	60.21818281	60.86714934	85.44292842	52.35021892	40.30324015	62.48402267	58.98165713	68.77504066	85.52597821	68.45827516	35.64323536	52.34034302	25.67216489	68.3120335	42.07315238	68.4983245	43.54909547	48.56833407	60.56596592	56.46412135	43.31737959	53.27156124	45.7288865	49.3014735	43.96277112
PC(36:2)	174.9997732	213.1171944	154.0934664	230.5301531	152.6487371	259.6430945	125.7398144	189.5288767	162.8364219	203.9689043	153.7238551	218.6937522	175.9814652	119.8557841	157.2975295	156.3778317	245.0378756	187.2650087	206.0298374	190.1742118	156.2347192	146.474342	168.4501395	122.7695564	162.3303484	156.9552832	158.2073498	147.7782431
PC(36:3)	81.35053572	100.2144101	73.81742056	91.56753812	81.2894348	116.3656163	62.56357274	90.13436804	79.98608779	109.5222201	83.50444922	111.9704608	88.49423887	42.76061706	84.86943806	52.5163392	121.5236664	71.11032065	100.3134598	66.6854349	81.79327294	66.03429487	89.36286271	44.39446149	90.88335235	66.89563042	80.89134014	63.83905847
PC(36:4)	120.9319856	104.8059021	123.3865985	85.74115567	121.7877531	100.6157492	112.4393352	104.007504	125.7070765	114.8612282	128.9698915	103.2317551	153.2779829	77.6120824	112.6022465	103.8336036	171.7903039	128.6191712	121.7638112	114.366074	128.4839854	126.0094774	131.2879504	100.6047034	116.5693608	120.6976822	111.8365978	113.5038628
PC(36:5)	9.742133208	9.914577469	10.92178183	8.222396522	13.40940844	10.52175082	7.193805186	6.183138752	11.2708107	11.80412406	12.265268	13.65408666	13.07262553	23.91205901	13.70126546	4.625783583	13.92817643	8.428959186	13.78740517	42.68894631	9.835206202	24.92243092	9.631029383	15.81274168	11.26986022	37.39763103	8.5616332	35.00218897
PC(37:4)	13.40064881	8.388735509	13.28892664	4.892321452	14.60125138	6.817994166	12.61741784	6.111973034	14.26996551	9.717774634	16.71461488	5.37191322	18.55044985	5.332140737	13.43798281	3.803228228	18.07572615	9.119917147	13.97775926	6.601018865	15.27784259	13.00289894	16.41847663	8.70195622	14.718599	11.06330482	12.63190038	9.669647877
PC(37:5)	2.034264588	1.741879228	2.10741133	1.087584499	2.009574313	1.347202957	1.538016117	1.15942807	1.923249059	1.878424556	2.32467418	1.322544112	2.074856373	1.512523445	1.836939973	0.798933982	2.475338123	1.21043115	2.125999722	2.241890696	1.865068986	3.262915395	1.897996903	2.336919514	1.904779764	3.145328373	1.614151214	3.16644891
PC(38:2)	3.815638838	4.259070426	3.145025689	1.980060466	3.487494389	4.8112941	2.600382677	2.190654362	3.106409153	3.052708458	3.796721607	5.068310014	3.094759489	1.623752493	2.963640773	1.574583504	3.435305442	2.05218537	3.212443231	1.551134254	2.596625338	3.168222797	3.307080279	1.681487574	3.21587672	2.460287372	2.938507896	2.460074322
PC(38:3)	53.34917434	80.12728455	23.6743438	42.76418632	30.64967347	69.63544732	32.2857187	47.63661275	36.94385091	68.69823009	49.80701488	62.7585894	23.91665692	10.42831278	22.88757561	9.667206	41.83540388	23.65298324	25.86473166	11.52392563	33.47017438	39.04292509	40.24406673	25.74315452	35.92923998	26.06505862	33.36230842	28.10209556
PC(38:4)	192.8051783	131.7482906	200.5879585	105.1904065	197.6388321	116.0028548	180.505869	135.1349437	208.1207996	150.2596537	203.6500759	92.38798764	235.961184	105.6408198	162.0775791	128.4948037	246.4274927	158.3886744	172.5479098	140.0129316	179.3722086	164.9342728	184.5329651	139.3891369	162.0456525	143.6673949	160.7880485	136.5629042
